task_id,task_name,risk_id,risk_name
TC0001,Patient assessments,FHR000001,Back problems
TC0001,Patient assessments,FHR000002,Headaches and migraines
TC0001,Patient assessments,FHR000003,Eye problems
TC0002,Educating patients,FHR000002,Headaches and migraines
TC0003,Preparing anesthetic,FHR000007,Stress and depression
TC0004,Administering medication,FHR000004,Repetitive strain injuries
TC0004,Administering medication,FHR000007,Stress and depression
TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000002,Headaches and migraines
TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000004,Repetitive strain injuries
TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000019,Knee pain
TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000021,Tiredness
TC0006,Overseeing the patient’s safety as they recover from anesthesia,FHR000007,Stress and depression
TC0006,Overseeing the patient’s safety as they recover from anesthesia,FHR000021,Tiredness
TC0006,Overseeing the patient’s safety as they recover from anesthesia,FHR000016,Communicable diseases
TC0006,Overseeing the patient’s safety as they recover from anesthesia,FHR000004,Repetitive strain injuries
TC0007,Computer use,FHR000001,Back problems
TC0007,Computer use,FHR000002,Headaches and migraines
TC0007,Computer use,FHR000003,Eye problems
TC0007,Computer use,FHR000004,Repetitive strain injuries
TC0007,Computer use,FHR000005,Obesity
TC0007,Computer use,FHR000006,Circulation problems
TC0007,Computer use,FHR000007,Stress and depression
TC0007,Computer use,FHR000008,Sleep problems
TC0007,Computer use,FHR000018,Neck pain
TC0007,Computer use,FHR000010,Diabetes
TC0007,Computer use,FHR000011,High cholesterol
TC0008,Driving,FHR000001,Back problems
TC0008,Driving,FHR000009,Fatigued Driving
TC0008,Driving,FHR000005,Obesity
TC0008,Driving,FHR000008,Sleep problems
TC0008,Driving,FHR000011,High cholesterol
TC0008,Driving,FHR000012,High triglycerides
TC0008,Driving,FHR000013,Chest wheezy or whistly
TC0008,Driving,FHR000014,Angina
TC0008,Driving,FHR000020,Clogged arteries
TC0009,Laying bricks,FHR000001,Back problems
TC0009,Laying bricks,FHR000024,Physical Injury
TC0009,Laying bricks,FHR000018,Neck pain
