,occupation_id,occupation,task_id,task,task_name,risk_id,risk_name,risk_category,risk_family
0,OC001,Nurse Anesthetist,TC0001,Patient assessments,Patient assessments,FHR000001,Back problems,Not Available,Physical
1,OC001,Nurse Anesthetist,TC0001,Patient assessments,Patient assessments,FHR000002,Headaches and migraines,Not Available,Physical
2,OC001,Nurse Anesthetist,TC0001,Patient assessments,Patient assessments,FHR000003,Eye problems,Not Available,Physical
3,OC001,Nurse Anesthetist,TC0002,Educating patients,Educating patients,FHR000002,Headaches and migraines,Not Available,Physical
4,OC001,Nurse Anesthetist,TC0003,Preparing anesthetic,Preparing anesthetic,FHR000007,Stress and depression,Not Available,Psychological
5,OC001,Nurse Anesthetist,TC0004,Administering medication,Administering medication,FHR000004,Repetitive strain injuries,Not Available,Physical
6,OC001,Nurse Anesthetist,TC0004,Administering medication,Administering medication,FHR000007,Stress and depression,Not Available,Psychological
7,OC001,Nurse Anesthetist,TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000002,Headaches and migraines,Not Available,Physical
8,OC001,Nurse Anesthetist,TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000004,Repetitive strain injuries,Not Available,Physical
9,OC001,Nurse Anesthetist,TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000019,Knee pain,Not Available,Physical
10,OC001,Nurse Anesthetist,TC0005,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,Monitoring a patient’s vitals and adjusting anesthesia levels during surgery,FHR000021,Tiredness,Not Available,Physical
11,OC001,Nurse Anesthetist,TC0006,Overseeing the patient’s safety as they recover from anesthesia,Overseeing the patient’s safety as they recover from anesthesia,FHR000007,Stress and depression,Not Available,Psychological
12,OC001,Nurse Anesthetist,TC0006,Overseeing the patient’s safety as they recover from anesthesia,Overseeing the patient’s safety as they recover from anesthesia,FHR000021,Tiredness,Not Available,Physical
13,OC001,Nurse Anesthetist,TC0006,Overseeing the patient’s safety as they recover from anesthesia,Overseeing the patient’s safety as they recover from anesthesia,FHR000016,Communicable diseases,Not Available,Physical
14,OC001,Nurse Anesthetist,TC0006,Overseeing the patient’s safety as they recover from anesthesia,Overseeing the patient’s safety as they recover from anesthesia,FHR000004,Repetitive strain injuries,Not Available,Physical
